FeatureID,FeatureName,ROB Average,ROB Log2 Fold Change,ROB P-Value,SAY Average,SAY Log2 Fold Change,SAY P-Value
ENSGACG00000009315,ENSGACG00000009315,1.4524643000746102,4.710050100771888,3.7545418169037975e-36,0.05529588839213436,-4.710050100771888,3.7545418169037975e-36
ENSGACG00000012769,ENSGACG00000012769,43.638836326487876,3.45889232789278,3.5790827493460226e-22,3.9682451566429116,-3.45889232789278,3.5790827493457376e-22
ENSGACG00000000330,ENSGACG00000000330,3.0086760501545498,2.862163172435852,1.3709618512300286e-18,0.41359692166367656,-2.862163172435852,1.3709618512300438e-18
ENSGACG00000010720,ENSGACG00000010720,1.3672245609998799,2.536599459905686,4.828896865666996e-14,0.23546662437093377,-2.536599459905686,4.828896865667391e-14
ENSGACG00000014415,npsn,1.620337058374691,2.7556050226452022,2.824124053436495e-12,0.23975154561165266,-2.7556050226452022,2.8241240534365725e-12
ENSGACG00000020678,prdx4,1.0452946596014334,2.3644680393276194,4.528085417693348e-12,0.20281960539402788,-2.3644680393276194,4.528085417693348e-12
ENSGACG00000012783,ENSGACG00000012783,1.6086068190524803,2.152820029616168,2.8174763492944445e-09,0.3615657351692328,-2.152820029616168,2.8174763492944718e-09
ENSGACG00000012927,ENSGACG00000012927,2.229006143204952,1.9095090877450178,1.7623850502959199e-06,0.593155526036659,-1.9095090877450178,1.7623850502958178e-06
ENSGACG00000001460,ENSGACG00000001460,0.939201161731662,-1.6806495543123965,5.24503497962678e-06,3.0112794128823572,1.6806495543123965,5.245034979626799e-06
ENSGACG00000001804,zgc:162944,0.36311607501865256,-1.689048265394637,5.474101394109797e-06,1.1714158496651046,1.689048265394637,5.474101394109778e-06
ENSGACG00000004949,ENSGACG00000004949,2.407045108917615,1.3148908023319141,0.000511522371226906,0.9673719810594428,-1.3148908023319141,0.0005115223712269417
ENSGACG00000000350,ENSGACG00000000350,2.9059712880889728,1.2502836432440079,0.0011807222860680349,1.2214065974734918,-1.2502836432440079,0.0011807222860680349
ENSGACG00000017163,ENSGACG00000017163,5.035400733047603,1.2590359855303566,0.001320942018031842,2.1036922853243736,-1.2590359855303566,0.0013209420180317739
ENSGACG00000013918,HBE1,8.438994840383243,1.1937600189902124,0.0035831735903691375,3.6889091005217605,-1.1937600189902124,0.0035831735903691874
ENSGACG00000001305,ssr2,1.018706117137756,1.1399262274128965,0.006872808622788023,0.4621593623918241,-1.1399262274128965,0.0068728086227881425
ENSGACG00000006710,ENSGACG00000006710,2.0814657997300365,1.0913244236336674,0.010015643009345878,0.9767579990153032,-1.0913244236336674,0.01001564300934557
ENSGACG00000009519,ENSGACG00000009519,3.4919619102296267,1.0791906639290507,0.012915260947634706,1.6525512918372554,-1.0791906639290507,0.012915260947634634
ENSGACG00000008253,ENSGACG00000008253,0.5015328990207376,-1.0906076550356034,0.0132455718115123,1.0683736960192454,1.0906076550356034,0.0132455718115123
ENSGACG00000020946,mt-nd4l,3.1940138314454773,0.9704404259896802,0.030498159702776202,1.6299024224220269,-0.9704404259896802,0.030498159702774988
ENSGACG00000006713,ENSGACG00000006713,0.8904555005482535,-0.9921888321282657,0.03366916335014675,1.7715088672343562,0.9921888321282657,0.03366916335014733
ENSGACG00000005409,cyb561a3a,0.8338896798167047,-0.8745820691163757,0.0942261417679838,1.5291047513308298,0.8745820691163757,0.09422614176798388
ENSGACG00000010801,ENSGACG00000010801,12.414763954657824,0.8261727841336914,0.1108447290610713,7.001765351203286,-0.8261727841336914,0.11084472906107581
ENSGACG00000018016,cd74a,11.049885441522385,0.7797583630454041,0.15903141008774982,6.43574765969118,-0.7797583630454041,0.15903141008775282
ENSGACG00000014266,xbp1,1.136008510359862,0.7790532294116179,0.1684504501258555,0.661918309756767,-0.7790532294116179,0.168450450125846
ENSGACG00000020940,ENSGACG00000020940,11.063961728709039,0.7696155324483929,0.1714556119182656,6.489411197134469,-0.7696155324483929,0.17145561191827674
ENSGACG00000013895,ENSGACG00000013895,1.5178929682940516,-0.77192605300014,0.22074124171765874,2.5919692628977224,0.77192605300014,0.22074124171765874
ENSGACG00000014576,ENSGACG00000014576,4.700697904387194,0.6763230144074308,0.3125202701751119,2.9412923659506154,-0.6763230144074308,0.3125202701751113
ENSGACG00000000546,ENSGACG00000000546,1.3768694244425865,0.6767053351493302,0.31505437088479543,0.8612691693844986,-0.6767053351493302,0.31505437088476235
ENSGACG00000001123,ENSGACG00000001123,12.816198811462364,0.675371329516604,0.3153162021108204,8.024637264523468,-0.675371329516604,0.3153162021108007
ENSGACG00000020925,mt-nd1,4.081601940159413,0.6643260590079194,0.3260477614611344,2.575237665672058,-0.6643260590079194,0.3260477614611344
ENSGACG00000018552,sh3bgrl,1.3200429317260995,0.6224173164806478,0.41783796178912924,0.8573923358809911,-0.6224173164806478,0.41783796178912924
ENSGACG00000020929,mt-nd2,3.988281369551604,0.6145938946678726,0.4247486318729336,2.6046199827512733,-0.6145938946678726,0.42474863187292633
ENSGACG00000017191,eef1da,1.702448733630165,-0.6246923938408221,0.4397134659339316,2.6250243696118396,0.6246923938408221,0.439713465933932
ENSGACG00000013902,ENSGACG00000013902,2.6632856701116823,0.6136005761590875,0.4552537472380631,1.7404941992062954,-0.6136005761590875,0.4552537472380569
ENSGACG00000003653,zgc:64051,5.509041729679974,0.6015177587997136,0.4559895680014443,3.6305525541005412,-0.6015177587997136,0.4559895680014276
ENSGACG00000003230,cd79a,1.2194235455400264,0.5932458524149458,0.4817286984286679,0.8082177635470266,-0.5932458524149458,0.481728698428646
ENSGACG00000000326,ENSGACG00000000326,3.8042469481853667,0.5940040570656708,0.4822335406018641,2.5201458211485295,-0.5940040570656708,0.4822335406018641
ENSGACG00000017028,ENSGACG00000017028,1.133401790510482,0.5844846702149937,0.4889599443835437,0.7557784893153715,-0.5844846702149937,0.4889599443835462
ENSGACG00000012539,rpl22l1,1.7235631644101441,-0.563891131797256,0.5447272812235106,2.5478957872788994,0.563891131797256,0.5447272812235094
ENSGACG00000020896,rhogb,1.1479994216670106,0.5513102121433788,0.5490211855257197,0.7833244115771358,-0.5513102121433788,0.5490211855257197
ENSGACG00000000082,ENSGACG00000000082,1.0129713334691197,0.5211595737592315,0.6190628820711639,0.7057877415069843,-0.5211595737592315,0.6190628820711572
ENSGACG00000020942,mt-co3,19.25662154332586,0.5079620941208782,0.6356276167481757,13.54075920840893,-0.5079620941208782,0.6356276167481824
ENSGACG00000019287,ENSGACG00000019287,1.9829317894234675,0.5015320297702219,0.6498712807923677,1.400557114109263,-0.5015320297702219,0.6498712807923666
ENSGACG00000020938,mt-co2,54.4517709337016,0.49203140183613225,0.6701590530928369,38.71426340989525,-0.49203140183613225,0.6701590530927908
ENSGACG00000005778,dap1b,2.835850524140647,0.4925161427653195,0.6723700079121483,2.0155453340867275,-0.4925161427653195,0.6723700079121382
ENSGACG00000007989,itm2bb,1.9036875060023113,0.4814653950791823,0.687995053984871,1.3634211300230323,-0.4814653950791823,0.687995053984871
ENSGACG00000009846,arpc4,1.2952790931569882,0.4768539090816327,0.7015126245715063,0.9306440847104237,-0.4768539090816327,0.7015126245715063
ENSGACG00000002767,rpl7,22.60886326962871,-0.47863525642188876,0.7099518736763422,31.502128830159528,0.47863525642188876,0.7099518736763526
ENSGACG00000005189,rplp2,10.337208234701857,0.4584417609903362,0.7252524518541581,7.52268934775354,-0.4584417609903362,0.7252524518541581
ENSGACG00000000344,ENSGACG00000000344,5.03461871709279,0.4478835267288217,0.7477214112886725,3.6907454953392116,-0.4478835267288217,0.7477214112886725
ENSGACG00000007959,lcp1,2.6333083918438107,0.44906148676199176,0.7478222984123251,1.9288266899293214,-0.44906148676199176,0.7478222984122932
ENSGACG00000009280,ENSGACG00000009280,6.605428098329258,-0.4573380852196012,0.7478222984123251,9.068933784047246,0.4573380852196012,0.7478222984122932
ENSGACG00000019282,ENSGACG00000019282,11.257641013517983,0.424731516491502,0.792292201145779,8.386202999692701,-0.424731516491502,0.792292201145787
ENSGACG00000017491,rpl12,13.159764487610666,-0.43132217403305617,0.7994110454634294,17.744675033291383,0.43132217403305617,0.7994110454634287
ENSGACG00000013555,coro1a,1.4349992770837634,0.41784558262660354,0.8121273223207137,1.074086924340204,-0.41784558262660354,0.8121273223207003
ENSGACG00000014492,hbae5,5.294248014091051,0.4235750467776189,0.8176065049428014,3.9470245943079227,-0.4235750467776189,0.817606504942801
ENSGACG00000007836,ENSGACG00000007836,12.945752787976556,0.4049975979283831,0.8423382138526672,9.776557920371681,-0.4049975979283831,0.8423382138526672
ENSGACG00000015247,nme2a,1.2423626802145715,-0.4062125441513459,0.8668060744240116,1.6464299757790855,0.4062125441513459,0.8668060744240116
ENSGACG00000014559,rpl3,8.698363465396566,-0.39529995467400303,0.8861591586861983,11.439719493376431,0.39529995467400303,0.8861591586861991
ENSGACG00000002182,ENSGACG00000002182,14.047613268309538,-0.391103537137909,0.8972402742569792,18.42108045771915,0.391103537137909,0.8972402742569798
ENSGACG00000009310,rpl13a,19.125503534902037,-0.3873908541193405,0.906963781607274,25.01537020331693,0.3873908541193405,0.9069637816072744
ENSGACG00000009305,atp5if1b,1.3797368162769046,0.37967606496731954,0.9082179991454801,1.0604159851436246,-0.37967606496731954,0.9082179991453603
ENSGACG00000004750,cfl1l,2.366640951252223,0.3729511952770155,0.9098984416216539,1.8274168872323076,-0.3729511952770155,0.9098984416216658
ENSGACG00000016123,rpl37,9.581780822351494,-0.3762778670828437,0.9098984416216539,12.43647379151509,0.3762778670828437,0.9098984416216658
ENSGACG00000009661,NDUFA4,1.310137396298455,0.37059744620225044,0.9098984416216539,1.0132818514957167,-0.37059744620225044,0.9098984416216658
ENSGACG00000007282,cxcr4a,3.808417699944375,-0.3724104523173768,0.9142938503778546,4.929903909381395,0.3724104523173768,0.9142938503778546
ENSGACG00000005380,eif3ea,1.2561782954162863,0.35627075640404127,0.9249029016183619,0.9812469641246278,-0.35627075640404127,0.9249029016183623
ENSGACG00000020692,ENSGACG00000020692,9.093020850592719,-0.35704425015634245,0.9289485233544296,11.64580380066815,0.35704425015634245,0.9289485233544296
ENSGACG00000015958,irf8,1.8875258429361546,-0.3581261159695037,0.9289485233544296,2.4193481500573326,0.3581261159695037,0.9289485233544296
maker-chrY-augustus-gene-11.16,maker-chrY-augustus-gene-11.16,1.9990934524896242,-0.35803373064244814,0.9289485233544296,2.5621788580812956,0.35803373064244814,0.9289485233544296
