FeatureID,FeatureName,GOS Average,GOS Log2 Fold Change,GOS P-Value,ROB Average,ROB Log2 Fold Change,ROB P-Value
ENSGACG00000009315,ENSGACG00000009315,0.00855950050266136,-7.150253071133771,9.594962373535584e-73,1.2400340456608678,7.150253071133771,9.594962373535584e-73
ENSGACG00000019326,ponzr1,0.2038873019733936,-2.4175430308478507,6.256711901265761e-16,1.0900371061821486,2.4175430308478507,6.256711901265671e-16
ENSGACG00000001804,zgc:162944,1.323127587701393,2.092797877916625,1.0185375724230098e-10,0.31000851141521696,-2.092797877916625,1.018537572423019e-10
ENSGACG00000006710,ENSGACG00000006710,0.45108567649025366,-1.9775626766521575,1.5385991696393337e-10,1.7770408927857198,1.9775626766521575,1.538599169639247e-10
ENSGACG00000008253,ENSGACG00000008253,1.784142284774734,2.0584002551429164,1.6126531179544047e-10,0.4281811744169975,-2.0584002551429164,1.6126531179543804e-10
ENSGACG00000012769,ENSGACG00000012769,9.844623908130936,-1.919991112844909,1.3864052673023607e-08,37.25643566942574,1.919991112844909,1.3864052673024176e-08
ENSGACG00000012783,ENSGACG00000012783,0.4058915138362017,-1.7580740270518929,1.7571708705367095e-07,1.3733399310432908,1.7580740270518929,1.757170870536741e-07
ENSGACG00000009519,ENSGACG00000009519,0.9412026752726431,-1.6631087564103977,2.6725933610449406e-07,2.9812448089865375,1.6631087564103977,2.672593361045222e-07
ENSGACG00000000330,ENSGACG00000000330,0.9602047663885513,-1.4193855250260774,1.149161346164827e-05,2.5686419517260837,1.4193855250260774,1.1491613461648187e-05
ENSGACG00000018552,sh3bgrl,0.5193904905014913,-1.1173057275726177,0.0018576348088510937,1.1269799725819518,1.1173057275726177,0.001857634808850944
ENSGACG00000014415,npsn,0.6044719254979453,-1.1941732109161411,0.004323480346698897,1.3833545635010687,1.1941732109161411,0.0043234803466988304
ENSGACG00000020827,ncf1,3.041704098625741,0.9850002776356068,0.01573449715792115,1.5366897137990476,-0.9850002776356068,0.015734497157921155
ENSGACG00000017163,ENSGACG00000017163,2.2956580348137767,-0.9049688974033208,0.03145477986572079,4.298947893042173,0.9049688974033208,0.03145477986571993
ENSGACG00000010720,ENSGACG00000010720,2.1123135340467707,0.8556127067446345,0.07990619573728958,1.1672610498010145,-0.8556127067446345,0.07990619573728937
ENSGACG00000007282,cxcr4a,5.659541732359691,0.7996354657755957,0.10749255968269254,3.251417337958593,-0.7996354657755957,0.10749255968269365
ENSGACG00000019805,btg1,1.9984721773613743,0.7500709278823089,0.165769208056544,1.1881805042683729,-0.7500709278823089,0.16576920805654902
